Category: Tool Id: Solar Pickaxe Old Value: 334593 - Value: 334593 | Rap changed: 0%
Category: Card Id: Huge Blurred Axolotl Card Old Value: 312301206 - Value: 660378651 | Rap changed: 52%
Category: Card Id: Titanic Pop Cat Card Old Value: 3274694023 - Value: 3274694023 | Rap changed: 0%
Category: Card Id: Ninja Otter Card Old Value: 55801 - Value: 55801 | Rap changed: 0%
Category: Card Id: Super Seal Card Old Value: 153373600 - Value: 153373600 | Rap changed: 0%
Category: Card Id: Huge Anime Scorpion Card Old Value: 113888514 - Value: 159671884 | Rap changed: 28%
Category: Card Id: Huge Nightmare Dog Card Old Value: 8968313644 - Value: 422170720 | Rap changed: -2025%
Category: Card Id: Noob Card Old Value: 895363 - Value: 895363 | Rap changed: 0%
Category: Card Id: Wicked Agony Card Old Value: 330529 - Value: 4954749 | Rap changed: 93%
Category: Card Id: Huge Super Spider Card Old Value: 119656220 - Value: 119656220 | Rap changed: 0%
Category: Card Id: Fairy Moth Card Old Value: 91246 - Value: 91246 | Rap changed: 0%
Category: Card Id: Pog Shark Card Old Value: 63764 - Value: 63764 | Rap changed: 0%
Category: Card Id: Kung Fu Monkey Card Old Value: 826175700 - Value: 826175700 | Rap changed: 0%
Category: Card Id: Ninja Otter Card Old Value: 55801 - Value: 4474029 | Rap changed: 98%
Category: Card Id: Huge Arcade Dog Card Old Value: 121716447 - Value: 121716447 | Rap changed: 0%
Category: Card Id: Fairy Moth Card Old Value: 91246 - Value: 140232 | Rap changed: 34%
Category: Card Id: Super Bat Card Old Value: 3930892 - Value: 3930892 | Rap changed: 0%
Category: Card Id: Huge Hubert Card Old Value: 176048589 - Value: 176048589 | Rap changed: 0%
Category: Card Id: Hippomelon Card Old Value: 1061797 - Value: 1061797 | Rap changed: 0%
Category: Card Id: Fancy Axolotl Card Old Value: 101302315 - Value: 101302315 | Rap changed: 0%
Category: Card Id: Huge Nightmare Dog Card Old Value: 8968313644 - Value: 834795886 | Rap changed: -975%
Category: Card Id: Super Seal Card Old Value: 153373600 - Value: 2392883 | Rap changed: -6310%
Category: Card Id: Blue BIG Maskot Card Old Value: 3073619 - Value: 3073619 | Rap changed: 0%
Category: Card Id: Immortuus Card Old Value: 770726 - Value: 770726 | Rap changed: 0%
Category: Card Id: Titanic Signature BIG Maskot Card Old Value: 17199999958 - Value: 17199999958 | Rap changed: 0%
Category: Card Id: Noob Card Old Value: 895363 - Value: 162200859 | Rap changed: 99%
Category: Card Id: Huge Arcade Dog Card Old Value: 121716447 - Value: 817857373 | Rap changed: 85%
Category: Card Id: Super Bat Card Old Value: 3930892 - Value: 269138711 | Rap changed: 98%
Category: Card Id: Titanic Pop Cat Card Old Value: 3274694023 - Value: 8843081462 | Rap changed: 62%
Category: Card Id: Blue BIG Maskot Card Old Value: 3073619 - Value: 9565250 | Rap changed: 67%
Category: Card Id: Ninja Otter Card Old Value: 55801 - Value: 228384 | Rap changed: 75%
Category: Card Id: Huge Nightmare Dog Card Old Value: 8968313644 - Value: 96401124 | Rap changed: -9204%
Category: Card Id: Lumi Axolotl Card Old Value: 852 - Value: 852 | Rap changed: 0%
Category: Card Id: Lumi Axolotl Card Old Value: 852 - Value: 141588 | Rap changed: 99%
Category: Card Id: Hippomelon Card Old Value: 1061797 - Value: 862447430 | Rap changed: 99%
Category: Card Id: Error Cat Card Old Value: 533 - Value: 533 | Rap changed: 0%
Category: Card Id: Huge Super Spider Card Old Value: 119656220 - Value: 142470474 | Rap changed: 16%
Category: Card Id: Hydra Cat Card Old Value: 3792 - Value: 3792 | Rap changed: 0%
Category: Card Id: Huge Arcade Dog Card Old Value: 121716447 - Value: 27827390 | Rap changed: -338%
Category: Card Id: Hellhound Card Old Value: 124248 - Value: 124248 | Rap changed: 0%
Category: Card Id: Pog Dog Card Old Value: 50520 - Value: 136794 | Rap changed: 63%
Category: Card Id: Error Cat Card Old Value: 533 - Value: 1223 | Rap changed: 56%
Category: Card Id: Ghoul Horse Card Old Value: 8986 - Value: 8986 | Rap changed: 0%
Category: Card Id: Pog Monkey Card Old Value: 44035 - Value: 130644 | Rap changed: 66%
Category: Card Id: Fairy Moth Card Old Value: 91246 - Value: 5369 | Rap changed: -1600%
Category: Card Id: Ghoul Horse Card Old Value: 8986 - Value: 24133 | Rap changed: 62%
Category: Card Id: Fancy Axolotl Card Old Value: 101302315 - Value: 907225 | Rap changed: -11067%
Category: Card Id: Ninja Snake Card Old Value: 2105499 - Value: 2105499 | Rap changed: 0%
Category: Card Id: Lumi Axolotl Card Old Value: 852 - Value: 15793 | Rap changed: 94%
Category: Card Id: Hydra Cat Card Old Value: 3792 - Value: 27207 | Rap changed: 86%
Category: Card Id: Retro Bulldog Card Old Value: 207638 - Value: 207638 | Rap changed: 0%
Category: Card Id: Pog Dragon Card Old Value: 11098 - Value: 11098 | Rap changed: 0%
Category: Card Id: Super Seal Card Old Value: 153373600 - Value: 1000915 | Rap changed: -15224%
Category: Card Id: Retro Bulldog Card Old Value: 207638 - Value: 3268374 | Rap changed: 93%
Category: Card Id: Huge Blurred Axolotl Card Old Value: 312301206 - Value: 103588711 | Rap changed: -202%
Category: Card Id: Titanic Pop Cat Card Old Value: 3274694023 - Value: 23231848923 | Rap changed: 85%
Category: Card Id: Fairy Moth Card Old Value: 91246 - Value: 9370 | Rap changed: -874%
Category: Card Id: Hellhound Card Old Value: 124248 - Value: 15331 | Rap changed: -711%
Category: Card Id: Pog Shark Card Old Value: 63764 - Value: 8450026 | Rap changed: 99%
Category: Card Id: Titanic Cupcake Pegasus Card Old Value: 7729876751 - Value: 3159555766 | Rap changed: -145%
Category: Card Id: Titanic Super Wolf Card Old Value: 3701392682 - Value: 3701392682 | Rap changed: 0%
Category: Card Id: Empyrean Lion Card Old Value: 25648 - Value: 25648 | Rap changed: 0%
Category: Card Id: Retro Bulldog Card Old Value: 207638 - Value: 15770 | Rap changed: -1217%
Category: Card Id: Fancy Axolotl Card Old Value: 101302315 - Value: 2451689 | Rap changed: -4032%
Category: Card Id: Titanic Cupcake Pegasus Card Old Value: 7729876751 - Value: 25987764186 | Rap changed: 70%
Category: Card Id: Huge Arcane Dominus Card Old Value: 297607358 - Value: 297607358 | Rap changed: 0%
Category: Card Id: Pixel Dragon Card Old Value: 53504 - Value: 53504 | Rap changed: 0%
Category: Card Id: Gamer Shiba Card Old Value: 876 - Value: 4588 | Rap changed: 80%
Category: Card Id: Huge Storm Axolotl Card Old Value: 42503183 - Value: 42503183 | Rap changed: 0%
Category: Card Id: Super Seal Card Old Value: 153373600 - Value: 1429191 | Rap changed: -10632%
Category: Card Id: Huge Arcane Dominus Card Old Value: 297607358 - Value: 52908347 | Rap changed: -463%
Category: Card Id: Immortuus Card Old Value: 770726 - Value: 6001 | Rap changed: -12744%
Category: Card Id: Titanic Super Wolf Card Old Value: 3701392682 - Value: 5720191808 | Rap changed: 35%
Category: Card Id: Pixel Dragon Card Old Value: 53504 - Value: 199284 | Rap changed: 73%
Category: Card Id: Pog Shark Card Old Value: 63764 - Value: 23940 | Rap changed: -167%
Category: Card Id: Phantom Wolf Card Old Value: 88697 - Value: 88697 | Rap changed: 0%
Category: Card Id: Huge Ninja Capybara Card Old Value: 417098423 - Value: 417098423 | Rap changed: 0%
Category: Card Id: Lumi Axolotl Card Old Value: 852 - Value: 1338 | Rap changed: 36%
Category: Card Id: Pog Dog Card Old Value: 50520 - Value: 13660 | Rap changed: -270%
Category: Card Id: Pixel Dragon Card Old Value: 53504 - Value: 1187 | Rap changed: -4408%
Category: Card Id: Anime Wolf Card Old Value: 395313332 - Value: 6008782 | Rap changed: -6479%
Category: Card Id: Hydra Cat Card Old Value: 3792 - Value: 5262925 | Rap changed: 99%
Category: Card Id: Phantom Wolf Card Old Value: 88697 - Value: 1031433 | Rap changed: 91%
Category: Card Id: Super Axolotl Card Old Value: 4662271 - Value: 4662271 | Rap changed: 0%
Category: Card Id: Titanic Signature BIG Maskot Card Old Value: 17199999958 - Value: 24479999833 | Rap changed: 29%
Category: Card Id: Error Cat Card Old Value: 533 - Value: 5857 | Rap changed: 90%
Category: Card Id: Huge Blurred Axolotl Card Old Value: 312301206 - Value: 22094009 | Rap changed: -1314%
Category: Card Id: Immortuus Card Old Value: 770726 - Value: 23106 | Rap changed: -3236%
Category: Card Id: Huge Super Spider Card Old Value: 119656220 - Value: 1124400001 | Rap changed: 89%
Category: Card Id: Gamer Shiba Card Old Value: 876 - Value: 21134 | Rap changed: 95%
Category: Card Id: Titanic Cupcake Pegasus Card Old Value: 7729876751 - Value: 2610874689 | Rap changed: -197%
Category: Card Id: Phantom Wolf Card Old Value: 88697 - Value: 113706 | Rap changed: 21%
Category: Card Id: Ghoul Horse Card Old Value: 8986 - Value: 309851 | Rap changed: 97%
Category: Card Id: Hydra Cat Card Old Value: 3792 - Value: 39113 | Rap changed: 90%
Category: Card Id: Immortuus Card Old Value: 770726 - Value: 7649 | Rap changed: -9977%
Category: Card Id: Pog Dragon Card Old Value: 11098 - Value: 7466 | Rap changed: -49%
Category: Card Id: Camo Axolotl Card Old Value: 2294 - Value: 2294 | Rap changed: 0%
Category: Card Id: Super Axolotl Card Old Value: 4662271 - Value: 110034060 | Rap changed: 95%
Category: Card Id: Ghoul Horse Card Old Value: 8986 - Value: 3222117 | Rap changed: 99%
Category: Card Id: Retro Bulldog Card Old Value: 207638 - Value: 2166 | Rap changed: -9487%
Category: Card Id: Hydra Cat Card Old Value: 3792 - Value: 366300 | Rap changed: 98%
Category: Card Id: Super Axolotl Card Old Value: 4662271 - Value: 776676 | Rap changed: -501%
Category: Card Id: Super Bat Card Old Value: 3930892 - Value: 2219072 | Rap changed: -78%
Category: Card Id: Tech Chest Mimic Card Old Value: 12250 - Value: 12250 | Rap changed: 0%
Category: Card Id: Phantom Wolf Card Old Value: 88697 - Value: 759032 | Rap changed: 88%
Category: Card Id: Titanic Anime Cat Card Old Value: 4238498942 - Value: 5430688107 | Rap changed: 21%
Category: Card Id: Error Cat Card Old Value: 533 - Value: 2740 | Rap changed: 80%
Category: Card Id: Red Balloon Panda Card Old Value: 23985 - Value: 23985 | Rap changed: 0%
Category: Card Id: Nature Axolotl Card Old Value: 101381 - Value: 437913 | Rap changed: 76%
Category: Card Id: Immortuus Card Old Value: 770726 - Value: 940 | Rap changed: -81893%
Category: Card Id: Pixel Dragon Card Old Value: 53504 - Value: 75412 | Rap changed: 29%
Category: Card Id: Gamer Shiba Card Old Value: 876 - Value: 91597 | Rap changed: 99%
Category: Card Id: Immortuus Card Old Value: 770726 - Value: 2507 | Rap changed: -30643%
Category: Card Id: Noob Card Old Value: 895363 - Value: 4648125 | Rap changed: 80%
Category: Card Id: Huge Sea Dragon Card Old Value: 342822399 - Value: 1147999998 | Rap changed: 70%
Category: Card Id: Hellhound Card Old Value: 124248 - Value: 2259 | Rap changed: -5401%
Category: Card Id: Tech Chest Mimic Card Old Value: 12250 - Value: 37185 | Rap changed: 67%
Category: Card Id: Tech Chest Mimic Card Old Value: 12250 - Value: 5288 | Rap changed: -132%
Category: Card Id: Fairy Moth Card Old Value: 91246 - Value: 3139 | Rap changed: -2807%
Category: Card Id: Lumi Axolotl Card Old Value: 852 - Value: 12622 | Rap changed: 93%
Category: Card Id: Chill Axolotl Card Old Value: 83649 - Value: 83649 | Rap changed: 0%
Category: Card Id: Titanic Cupcake Pegasus Card Old Value: 7729876751 - Value: 25210000069 | Rap changed: 69%
Category: Card Id: Huge Arcade Dog Card Old Value: 121716447 - Value: 9735544 | Rap changed: -1151%
Category: Card Id: Error Cat Card Old Value: 533 - Value: 602 | Rap changed: 11%
Category: Card Id: Ghoul Horse Card Old Value: 8986 - Value: 40771 | Rap changed: 77%
Category: Card Id: Error Cat Card Old Value: 533 - Value: 30976 | Rap changed: 98%
Category: Card Id: Phantom Wolf Card Old Value: 88697 - Value: 77854 | Rap changed: -14%
Category: Card Id: Huge Ninja Capybara Card Old Value: 417098423 - Value: 2426400008 | Rap changed: 82%
Category: Card Id: Huge Blurred Axolotl Card Old Value: 312301206 - Value: 10046534 | Rap changed: -3009%
Category: Card Id: Hot Dooooog Card Old Value: 4494051 - Value: 4494051 | Rap changed: 0%
Category: Card Id: Gamer Shiba Card Old Value: 876 - Value: 11962 | Rap changed: 92%
Category: Card Id: Huge Super Spider Card Old Value: 119656220 - Value: 15581404 | Rap changed: -668%
Category: Card Id: Pog Monkey Card Old Value: 44035 - Value: 1637166 | Rap changed: 97%
Category: Card Id: Huge Hubert Card Old Value: 176048589 - Value: 286076017 | Rap changed: 38%
Category: Card Id: Hot Dooooog Card Old Value: 4494051 - Value: 8999557 | Rap changed: 50%
Category: Card Id: Ninja Snake Card Old Value: 2105499 - Value: 18957 | Rap changed: -11007%
Category: Card Id: Wicked Agony Card Old Value: 330529 - Value: 643888 | Rap changed: 48%
Category: Card Id: Pog Dragon Card Old Value: 11098 - Value: 633319 | Rap changed: 98%
Category: Card Id: Hellhound Card Old Value: 124248 - Value: 1175 | Rap changed: -10475%
Category: Card Id: Kung Fu Monkey Card Old Value: 826175700 - Value: 1876475 | Rap changed: -43929%
Category: Card Id: Chill Axolotl Card Old Value: 83649 - Value: 8804 | Rap changed: -851%
Category: Card Id: Wicked Agony Card Old Value: 330529 - Value: 52036067 | Rap changed: 99%
Category: Card Id: Empyrean Lion Card Old Value: 25648 - Value: 4928 | Rap changed: -421%
Category: Card Id: Chill Axolotl Card Old Value: 83649 - Value: 2608 | Rap changed: -3108%
Category: Card Id: Chill Axolotl Card Old Value: 83649 - Value: 9391 | Rap changed: -791%
Category: Card Id: Noob Card Old Value: 895363 - Value: 2447041 | Rap changed: 63%
Category: Card Id: Ninja Snake Card Old Value: 2105499 - Value: 7252 | Rap changed: -28934%
Category: Card Id: Camo Axolotl Card Old Value: 2294 - Value: 3833 | Rap changed: 40%
Category: Card Id: Huge Arcane Dominus Card Old Value: 297607358 - Value: 6860742107 | Rap changed: 95%
Category: Card Id: Pog Dog Card Old Value: 50520 - Value: 21305 | Rap changed: -138%
Category: Card Id: Pog Dog Card Old Value: 50520 - Value: 7541 | Rap changed: -570%
Category: Card Id: Camo Axolotl Card Old Value: 2294 - Value: 1455 | Rap changed: -58%
Category: Card Id: Hydra Cat Card Old Value: 3792 - Value: 36870 | Rap changed: 89%
Category: Card Id: Huge Storm Axolotl Card Old Value: 42503183 - Value: 35279664 | Rap changed: -21%
Category: Card Id: Fancy Axolotl Card Old Value: 101302315 - Value: 419 | Rap changed: -24177064%
Category: Card Id: Sensei Penguin Card Old Value: 1798930 - Value: 1798930 | Rap changed: 0%
Category: Card Id: Huge Storm Axolotl Card Old Value: 42503183 - Value: 354894031 | Rap changed: 88%
Category: Card Id: Huge Arcade Dog Card Old Value: 121716447 - Value: 9695701 | Rap changed: -1156%
Category: Card Id: Pog Monkey Card Old Value: 44035 - Value: 31118 | Rap changed: -42%
Category: Card Id: Huge Arcane Dominus Card Old Value: 297607358 - Value: 1075198176 | Rap changed: 72%
Category: Card Id: Camo Axolotl Card Old Value: 2294 - Value: 13295 | Rap changed: 82%
Category: Card Id: Hippomelon Card Old Value: 1061797 - Value: 4492312 | Rap changed: 76%
Category: Card Id: Pog Dragon Card Old Value: 11098 - Value: 18574 | Rap changed: 40%
Category: Card Id: Ninja Snake Card Old Value: 2105499 - Value: 522646 | Rap changed: -303%
Category: Card Id: Pog Shark Card Old Value: 63764 - Value: 1854268 | Rap changed: 96%
Category: Card Id: Ninja Otter Card Old Value: 55801 - Value: 13930 | Rap changed: -301%
Category: Card Id: Kung Fu Monkey Card Old Value: 826175700 - Value: 6083 | Rap changed: -13581615%
Category: Card Id: Hellhound Card Old Value: 124248 - Value: 488 | Rap changed: -25361%
Category: Card Id: Wicked Agony Card Old Value: 330529 - Value: 159113 | Rap changed: -108%
Category: Card Id: Huge Hubert Card Old Value: 176048589 - Value: 248900488 | Rap changed: 29%
Category: Card Id: Titanic Signature BIG Maskot Card Old Value: 17199999958 - Value: 3920159075 | Rap changed: -339%
Category: Card Id: Red Balloon Panda Card Old Value: 23985 - Value: 1261 | Rap changed: -1803%
Category: Card Id: Red Balloon Panda Card Old Value: 23985 - Value: 1021955 | Rap changed: 97%
Category: Card Id: Red Balloon Panda Card Old Value: 23985 - Value: 14496464 | Rap changed: 99%
Category: Card Id: Nature Axolotl Card Old Value: 101381 - Value: 74080 | Rap changed: -37%
Category: Card Id: Fancy Axolotl Card Old Value: 101302315 - Value: 63971 | Rap changed: -158257%
Category: Card Id: Kung Fu Monkey Card Old Value: 826175700 - Value: 451769 | Rap changed: -182776%
Category: Card Id: Huge Pog Cat Card Old Value: 86642006 - Value: 60662581 | Rap changed: -43%
Category: Card Id: Huge Ninja Capybara Card Old Value: 417098423 - Value: 256522437 | Rap changed: -63%
Category: Card Id: Hot Dooooog Card Old Value: 4494051 - Value: 482973385 | Rap changed: 99%
Category: Card Id: Wicked Agony Card Old Value: 330529 - Value: 725345 | Rap changed: 54%
Category: Card Id: Pog Shark Card Old Value: 63764 - Value: 254782 | Rap changed: 74%
Category: Card Id: Pog Dragon Card Old Value: 11098 - Value: 52611 | Rap changed: 78%
Category: Card Id: Retro Bulldog Card Old Value: 207638 - Value: 55659 | Rap changed: -274%
Category: Card Id: Sensei Penguin Card Old Value: 1798930 - Value: 2482024 | Rap changed: 27%
Category: Card Id: Hellhound Card Old Value: 124248 - Value: 592 | Rap changed: -20888%
Category: Card Id: Ninja Otter Card Old Value: 55801 - Value: 524838 | Rap changed: 89%
Category: Card Id: Nature Axolotl Card Old Value: 101381 - Value: 411439 | Rap changed: 75%
Category: Card Id: Fairy Moth Card Old Value: 91246 - Value: 953200 | Rap changed: 90%
Category: Card Id: Camo Axolotl Card Old Value: 2294 - Value: 53844 | Rap changed: 95%
Category: Card Id: Huge Pog Cat Card Old Value: 86642006 - Value: 197889432 | Rap changed: 56%
Category: Card Id: Blue BIG Maskot Card Old Value: 3073619 - Value: 1413934 | Rap changed: -118%
Category: Card Id: Anime Tanuki Card Old Value: 294309103 - Value: 885143 | Rap changed: -33150%
Category: Card Id: Kung Fu Monkey Card Old Value: 826175700 - Value: 69780 | Rap changed: -1183873%
Category: Card Id: Blue BIG Maskot Card Old Value: 3073619 - Value: 119070 | Rap changed: -2482%
Category: Card Id: Titanic Anime Cat Card Old Value: 4238498942 - Value: 1280970000 | Rap changed: -231%
Category: Card Id: Pog Dragon Card Old Value: 11098 - Value: 177595 | Rap changed: 93%
Category: Card Id: Titanic Signature BIG Maskot Card Old Value: 17199999958 - Value: 3663631568 | Rap changed: -370%
Category: Card Id: Sensei Penguin Card Old Value: 1798930 - Value: 27204860 | Rap changed: 93%
Category: Card Id: Chill Axolotl Card Old Value: 83649 - Value: 2670672 | Rap changed: 96%
Category: Card Id: Ninja Snake Card Old Value: 2105499 - Value: 740800 | Rap changed: -185%
Category: Card Id: Lumi Axolotl Card Old Value: 852 - Value: 7996 | Rap changed: 89%
Category: Card Id: Hot Dooooog Card Old Value: 4494051 - Value: 10363842 | Rap changed: 56%
Category: Card Id: Pog Monkey Card Old Value: 44035 - Value: 392938 | Rap changed: 88%
Category: Card Id: Sensei Penguin Card Old Value: 1798930 - Value: 6176858 | Rap changed: 70%
Category: Card Id: Red Balloon Panda Card Old Value: 23985 - Value: 86402 | Rap changed: 72%
Category: Card Id: Anime Wolf Card Old Value: 395313332 - Value: 4340481 | Rap changed: -9008%
Category: Card Id: Titanic Signature BIG Maskot Card Old Value: 17199999958 - Value: 23014937247 | Rap changed: 25%
Category: Card Id: Pog Monkey Card Old Value: 44035 - Value: 7614034 | Rap changed: 99%
Category: Card Id: Ghoul Horse Card Old Value: 8986 - Value: 5355 | Rap changed: -68%
Category: Card Id: Fancy Axolotl Card Old Value: 101302315 - Value: 22854229 | Rap changed: -344%
Category: Card Id: Huge Arcane Dominus Card Old Value: 297607358 - Value: 2749849588 | Rap changed: 89%
Category: Card Id: Ninja Otter Card Old Value: 55801 - Value: 1854284 | Rap changed: 96%
Category: Card Id: Hippomelon Card Old Value: 1061797 - Value: 5977048 | Rap changed: 82%
Category: Card Id: Super Bat Card Old Value: 3930892 - Value: 1886372 | Rap changed: -109%
Category: Card Id: Nature Axolotl Card Old Value: 101381 - Value: 24684042 | Rap changed: 99%
Category: Card Id: Pog Shark Card Old Value: 63764 - Value: 63129600 | Rap changed: 99%
Category: Card Id: Pixel Dragon Card Old Value: 53504 - Value: 3481 | Rap changed: -1438%
Category: Card Id: Tech Chest Mimic Card Old Value: 12250 - Value: 233048 | Rap changed: 94%
Category: Card Id: Blue BIG Maskot Card Old Value: 3073619 - Value: 424783 | Rap changed: -624%
Category: Card Id: Gamer Shiba Card Old Value: 876 - Value: 1137 | Rap changed: 22%
Category: Card Id: Tech Chest Mimic Card Old Value: 12250 - Value: 1166522 | Rap changed: 98%
Category: Card Id: Huge Sea Dragon Card Old Value: 342822399 - Value: 40728510 | Rap changed: -742%
Category: Card Id: Huge Ninja Capybara Card Old Value: 417098423 - Value: 3000000000 | Rap changed: 86%
Category: Card Id: Huge Arcane Dominus Card Old Value: 297607358 - Value: 68914089 | Rap changed: -332%
Category: Card Id: Titanic Super Wolf Card Old Value: 3701392682 - Value: 5140613719 | Rap changed: 27%
Category: Card Id: Pixel Dragon Card Old Value: 53504 - Value: 23921 | Rap changed: -124%
Category: Card Id: Tech Chest Mimic Card Old Value: 12250 - Value: 85557 | Rap changed: 85%
Category: Card Id: Super Axolotl Card Old Value: 4662271 - Value: 4875358 | Rap changed: 4%
Category: Card Id: Huge Arcade Dog Card Old Value: 121716447 - Value: 30493871 | Rap changed: -300%
Category: Card Id: Empyrean Lion Card Old Value: 25648 - Value: 262 | Rap changed: -9690%
Category: Card Id: Red Balloon Panda Card Old Value: 23985 - Value: 310801 | Rap changed: 92%
Category: Card Id: Chill Axolotl Card Old Value: 83649 - Value: 723892 | Rap changed: 88%
Category: Card Id: Empyrean Lion Card Old Value: 25648 - Value: 3065 | Rap changed: -737%
Category: Card Id: Huge Storm Axolotl Card Old Value: 42503183 - Value: 326858177 | Rap changed: 86%
Category: Card Id: Huge Pog Cat Card Old Value: 86642006 - Value: 3976384044 | Rap changed: 97%
Category: Card Id: Retro Bulldog Card Old Value: 207638 - Value: 57881 | Rap changed: -259%
Category: Card Id: Ninja Snake Card Old Value: 2105499 - Value: 91786 | Rap changed: -2194%
Category: Card Id: Huge Ninja Capybara Card Old Value: 417098423 - Value: 1335149862 | Rap changed: 68%
Category: Card Id: Huge Pog Cat Card Old Value: 86642006 - Value: 556678567 | Rap changed: 84%
Category: Card Id: Huge Storm Axolotl Card Old Value: 42503183 - Value: 1028531208 | Rap changed: 95%
Category: Card Id: Empyrean Lion Card Old Value: 25648 - Value: 658194 | Rap changed: 96%
Category: Card Id: Phantom Wolf Card Old Value: 88697 - Value: 2592096066 | Rap changed: 99%
Category: Card Id: Camo Axolotl Card Old Value: 2294 - Value: 661738 | Rap changed: 99%
Category: Card Id: Kung Fu Monkey Card Old Value: 826175700 - Value: 11027361 | Rap changed: -7393%
Category: Card Id: Blue BIG Maskot Card Old Value: 3073619 - Value: 194177414 | Rap changed: 98%
Category: Card Id: Empyrean Lion Card Old Value: 25648 - Value: 58059 | Rap changed: 55%
Category: Card Id: Huge Sea Dragon Card Old Value: 342822399 - Value: 4040958 | Rap changed: -8384%
Category: Card Id: Huge Nightmare Dog Card Old Value: 8968313644 - Value: 29816001 | Rap changed: -29979%
Category: Card Id: Huge Hubert Card Old Value: 176048589 - Value: 2883999999 | Rap changed: 93%
